week_of_month,month,value
1,01,308143
2,01,269264
3,01,313356
4,01,275737
5,01,101356
1,02,227303
2,02,491315
3,02,261905
4,02,176377
5,02,96590
1,03,186745
2,03,600528
3,03,328568
4,03,301510
5,03,233162
1,04,34240
2,04,451757
3,04,618419
4,04,344129
5,04,392563
6,04,27740
1,05,284903
2,05,486557
3,05,212107
4,05,193914
5,05,219417
1,06,206626
2,06,460099
3,06,462407
4,06,379417
5,06,227491
1,07,74783
2,07,589299
3,07,596321
4,07,341514
5,07,331948
6,07,131720
1,08,427064
2,08,591518
3,08,455675
4,08,334642
5,08,127037
1,09,131723
2,09,623128
3,09,565073
4,09,296476
5,09,303689
1,10,501547
2,10,432592
3,10,377466
4,10,307607
5,10,144476
1,11,218259
2,11,660515
3,11,497004
4,11,309493
5,11,156864
1,12,90345
2,12,709261
3,12,538531
4,12,283563
5,12,196337
6,12,4755
