date;value
2022-01-12;16738
2022-01-15;850
2022-01-18;5190
2022-01-19;910
2022-01-23;0
2022-01-25;16609
2022-01-25;1610
2022-01-27;13315
2022-01-31;9333
2022-01-31;9575
2022-01-07;22035
2022-01-15;4845
2022-01-18;29784
2022-01-18;12110
2022-01-23;6000
2022-01-09;2150
2022-01-10;36330
2022-01-11;35633
2022-01-14;6492
2022-01-24;1550
2022-01-27;6995
2022-01-28;1000
2022-01-30;3700
2022-01-06;10737
2022-01-18;0
2022-01-24;6920
2022-01-24;35036
2022-01-01;0
2022-01-12;1880
2022-01-13;21490
2022-01-14;28933
2022-01-23;4525
2022-01-30;200
2022-01-31;14615
2022-01-03;36004
2022-01-05;16096
2022-01-08;19080
2022-01-12;13709
2022-01-12;33940
2022-01-16;9609
2022-01-21;9408
2022-01-25;12200
2022-01-26;0
2022-01-29;12835
2022-01-29;0
2022-01-31;28019
2022-01-01;250
2022-01-02;1300
2022-01-03;3469
2022-01-09;8350
2022-01-13;11400
2022-01-19;4487
2022-01-19;24377
2022-01-26;13797
2022-01-27;4250
2022-01-27;6330
2022-01-29;1100
2022-01-30;0
2022-01-04;9030
2022-01-05;12804
2022-01-05;18762
2022-01-08;13020
2022-01-10;16902
2022-01-10;34236
2022-01-11;3502
2022-01-14;4729
2022-01-15;28862
2022-01-17;0
2022-01-21;1540
2022-01-22;1000
2022-01-25;6070
2022-01-25;11963
2022-01-29;610
2022-01-11;23794
2022-01-17;22917
2022-01-21;0
2022-01-22;400
2022-01-02;7309
2022-01-02;0
2022-01-04;17070
2022-01-06;15320
2022-01-07;3800
2022-01-07;28897
2022-01-08;400
2022-01-09;15004
2022-01-13;8293
2022-01-15;0
2022-01-16;3650
2022-01-21;8614
2022-01-26;14790
2022-01-30;3720
2022-01-07;39094
2022-01-11;11110
2022-01-23;5350
2022-01-26;4062
2022-01-28;0
2022-01-28;2576
2022-01-31;150
2022-01-03;0
2022-01-05;10850
2022-01-06;15170
2022-01-10;60852
2022-01-13;4000
2022-01-14;7217
2022-01-16;0
2022-01-19;480
2022-01-21;24260
2022-01-23;0
2022-01-26;2042
2022-01-30;1450
2022-01-06;24094
2022-01-09;1850
2022-01-16;0
2022-01-18;11547
2022-01-22;3590
2022-01-22;600
2022-01-27;0
2022-01-29;7750
2022-01-01;0
2022-01-04;10966
