week_of_month,month,value
1,01,66560
1,01,9720
2,01,1184730
2,01,872400
3,01,632650
3,01,635630
4,01,528840
4,01,428150
5,01,568450
5,01,449690
6,01,21610
6,01,121640
1,02,796520
1,02,737810
2,02,662860
2,02,756520
3,02,519180
3,02,377230
4,02,464960
4,02,476810
5,02,19140
5,02,68300
1,03,1096290
1,03,543630
2,03,575800
2,03,747900
3,03,590390
3,03,437150
4,03,412430
4,03,417770
5,03,335390
5,03,347000
1,04,229870
1,04,136670
2,04,1140060
2,04,874870
3,04,568090
3,04,402300
4,04,587440
4,04,354980
5,04,581100
5,04,414910
1,05,47510
1,05,834050
2,05,1117070
2,05,451720
3,05,804570
3,05,294900
4,05,554400
4,05,281890
5,05,442500
5,05,164810
6,05,59240
1,06,756710
1,06,483520
2,06,1038500
2,06,762800
3,06,564200
3,06,403370
4,06,497380
4,06,371520
5,06,312080
5,06,196960
1,07,266990
1,07,218190
2,07,1263170
2,07,814440
3,07,597910
3,07,333550
4,07,566330
4,07,389540
5,07,536030
5,07,343040
6,07,28300
1,08,1144580
1,08,734520
2,08,438360
2,08,482150
3,08,538210
3,08,334840
4,08,400730
4,08,246840
5,08,190290
5,08,243440
1,09,584900
1,09,225640
2,09,741960
2,09,773510
3,09,486340
3,09,397360
4,09,503100
4,09,357760
5,09,304930
5,09,312000
1,10,169390
1,10,51770
2,10,914590
2,10,839230
3,10,490540
3,10,443970
4,10,429400
4,10,399580
5,10,441720
5,10,315540
6,10,15900
6,10,48200
1,11,807670
1,11,461720
2,11,651810
2,11,693680
3,11,432310
3,11,381800
4,11,474860
4,11,370910
5,11,283380
5,11,192440
1,12,477960
1,12,258970
2,12,876620
2,12,805140
3,12,490410
3,12,394650
4,12,613640
4,12,548840
5,12,367860
5,12,413940
