week_of_month,month,value
1,01,713760
2,01,394510
3,01,309500
4,01,358960
5,01,134490
1,02,402590
2,02,498530
3,02,328640
4,02,242750
5,02,159910
1,03,348260
2,03,619950
3,03,311040
4,03,312850
5,03,218450
1,04,56460
2,04,784540
3,04,492480
4,04,303790
5,04,339270
6,04,15740
1,05,579430
2,05,434190
3,05,362580
4,05,294540
5,05,169140
1,06,269170
2,06,700850
3,06,309000
4,06,299840
5,06,253920
1,07,53630
2,07,848310
3,07,392070
4,07,218720
5,07,256870
6,07,97380
1,08,579190
2,08,479840
3,08,339160
4,08,281750
5,08,150380
1,09,148060
2,09,807420
3,09,333540
4,09,318640
5,09,393540
1,10,759480
2,10,434210
3,10,303110
4,10,295870
5,10,102520
1,11,302000
2,11,564490
3,11,337010
4,11,236880
5,11,199880
1,12,114240
2,12,709890
3,12,349780
4,12,496830
5,12,291130
6,12,14660
