week_of_month;month;value
1;01;61275
2;01;553913
3;01;487182
4;01;366250
5;01;216558
6;01;13425
1;02;317616
2;02;520960
3;02;373247
4;02;282048
5;02;5064
1;03;495417
2;03;465619
3;03;401450
4;03;287603
5;03;130067
1;04;71377
2;04;483854
3;04;362851
4;04;363439
5;04;286277
1;05;10572
2;05;338497
3;05;595936
4;05;345410
5;05;311654
6;05;31842
1;06;313412
2;06;593667
3;06;383443
4;06;246898
5;06;120724
1;07;117702
2;07;509082
3;07;476335
4;07;284665
5;07;211913
1;08;427539
2;08;347074
3;08;343089
4;08;241414
5;08;76249
1;09;185099
2;09;368419
3;09;298144
4;09;278750
5;09;146139
1;10;47147
2;10;365659
3;10;344129
4;10;195125
5;10;207414
6;10;11100
1;11;265248
2;11;426749
3;11;265971
4;11;240456
5;11;113425
1;12;156955
2;12;441152
3;12;372781
4;12;225242
5;12;151274
