week_of_month;month;value
1;01;61275
1;01;250
2;01;553913
2;01;335307
3;01;487182
3;01;443091
4;01;366250
4;01;203870
5;01;216558
5;01;241327
6;01;13425
6;01;70762
1;02;317616
1;02;251268
2;02;520960
2;02;485470
3;02;373247
3;02;300254
4;02;282048
4;02;267584
5;02;5064
5;02;49625
1;03;495417
1;03;178923
2;03;465619
2;03;481389
3;03;401450
3;03;337870
4;03;287603
4;03;261137
5;03;130067
5;03;202311
1;04;71377
1;04;69373
2;04;483854
2;04;454293
3;04;362851
3;04;325054
4;04;363439
4;04;296241
5;04;286277
5;04;214008
1;05;10572
1;05;455175
2;05;338497
2;05;391132
3;05;595936
3;05;235928
4;05;345410
4;05;251838
5;05;311654
5;05;93648
6;05;31842
1;06;313412
1;06;233303
2;06;593667
2;06;660415
3;06;383443
3;06;353990
4;06;246898
4;06;351308
5;06;120724
5;06;176566
1;07;117702
1;07;77025
2;07;509082
2;07;505092
3;07;476335
3;07;325452
4;07;284665
4;07;346261
5;07;211913
5;07;239215
6;07;28508
1;08;427539
1;08;424368
2;08;347074
2;08;489840
3;08;343089
3;08;304957
4;08;241414
4;08;236162
5;08;76249
5;08;172735
1;09;185099
1;09;141680
2;09;368419
2;09;521325
3;09;298144
3;09;375052
4;09;278750
4;09;292538
5;09;146139
5;09;144309
1;10;47147
1;10;29030
2;10;365659
2;10;367204
3;10;344129
3;10;303992
4;10;195125
4;10;353306
5;10;207414
5;10;343581
6;10;11100
6;10;43015
1;11;265248
1;11;332112
2;11;426749
2;11;306318
3;11;265971
3;11;303551
4;11;240456
4;11;327834
5;11;113425
5;11;175451
1;12;156955
1;12;88400
2;12;441152
2;12;538196
3;12;372781
3;12;289603
4;12;225242
4;12;382287
5;12;151274
5;12;289155
