semana_mes,entradas,saidas,resultado
1-1,256254.63615352692,587202.8167724397,-330948.1806189128
2-1,362092.85687273776,647784.9601665294,-285692.10329379165
3-1,384775.5144649374,623367.8548393191,-238592.34037438175
4-1,324302.60893012583,513951.5007908088,-189648.89186068298
5-1,180674.14026830322,319535.8980209985,-138861.7577526953
1-2,259201.10764347218,578191.2858258898,-318990.17818241764
2-2,365739.74659382814,639605.4145576494,-273865.66796382127
3-2,389122.8224171728,616020.294568109,-226897.4721509362
4-2,329350.33511350636,507435.9258572687,-178085.59074376232
5-2,186422.2846828288,313852.30842512834,-127430.02374229956
1-3,260744.06111598085,569672.9104331499,-308928.84931716905
2-3,367983.11829748185,631919.0245025795,-263935.9062050976
3-3,392066.61235197156,609165.889850709,-217099.27749873744
4-3,332994.54327945027,501413.50647753867,-168418.9631980884
5-3,190766.91107991777,308661.8743830683,-117894.96330315052
6-3,-34616.2842466259,30910.993567298166,-65527.27781392407
1-4,260883.4965710529,561647.6905942202,-300764.19402316725
2-4,368822.971983699,624725.7900013197,-255902.8180176207
3-4,393606.8842693338,602804.6406871192,-209197.75641778542
4-4,335235.2334279575,495884.2426516188,-160649.00922366127
5-4,193708.01945957012,303964.5958948184,-110256.57643524831
1-5,259619.41400868836,554115.6263091005,-294496.2123004122
2-5,368259.30765247956,618025.71105387,-249766.40340139047
3-5,393743.6381692594,596936.5470773395,-203192.90890808008
4-5,336072.40555902827,490848.1343795091,-154775.7288204808
5-5,195245.60982178594,299760.4729603786,-104514.86313859269
